year,state,gdp_per_capita,literacy_rate,female_literacy_rate,poverty_rate,unemployment_rate,internet_penetration,urban_population_pct,life_expectancy
2011,Andhra Pradesh,240385,,89.95013107149174,,9.309081504288685,31.4316138109377,68.9806627734975,71.77726312329588
2012,Andhra Pradesh,223345,97.69070418253628,60.24572638957159,31.942755986647892,9.720903908948696,47.082309588472036,47.23663535084391,75.28948392095579
2013,Andhra Pradesh,111225,76.89673972979604,71.9403583621899,26.960099028620558,9.24128753185105,42.78679887200427,43.4242384131667,73.34139213653424
2014,Andhra Pradesh,257312,74.30727102849934,93.24844118935454,19.341437388727176,8.262789941256006,18.67824152105581,52.83792454271716,68.88801604092203
2015,Andhra Pradesh,151387,72.00247378541339,77.15962156041095,7.71648428100052,5.115394033720811,15.557005227898948,65.43898841825799,71.52234426877664
2016,Andhra Pradesh,101987,88.29389667997495,73.5923319720861,15.923142779332014,4.754368042378809,94.85928412088838,42.27912870071543,72.29273443184188
2017,Andhra Pradesh,191014,,94.85784645991022,21.31833471484448,5.376820528693848,61.69716551436611,41.980020426042856,68.03728347983194
2018,Andhra Pradesh,192277,95.99285495521528,90.14976933270917,20.147626731688746,9.445016567300403,87.36423920710178,28.557100839010044,70.09958536142054
2019,Andhra Pradesh,207017,74.19199629294047,94.93954433046565,10.703633817148976,10.065527572098972,73.98269113086562,52.6322584763203,71.93620153545835
2020,Andhra Pradesh,236589,88.71071053266827,94.48727996180709,5.552377712360876,,19.157578392963305,64.3646901603999,72.937578994828
2021,Andhra Pradesh,167784,69.83255855966723,61.17580805355507,9.124087180577227,8.15426450905515,24.95279993028564,44.18418908431224,74.10782356728056
2022,Andhra Pradesh,177138,72.7637958011198,63.79944032577775,26.48580146401811,5.1929067362715,85.29044922500509,45.948814677951134,72.91029878648426
2023,Andhra Pradesh,104283,80.37576943944684,89.18913861185058,33.89109619492524,8.302164108272024,75.69028419461459,34.878445163153145,67.52569105808789
2011,Bihar,244257,86.38924107310312,87.7213546995653,32.66161147442013,7.739277051368982,36.78487356260354,69.79141962738684,67.06623369881832
2012,Bihar,184340,78.64705453889418,95.07601855885136,26.593884328310796,10.972274365073911,58.72398806290368,27.492158524145605,75.54669260060402
2013,Bihar,113212,88.89943935332721,87.04873361227897,26.52637935737243,11.119614698098292,26.316565137021406,,74.48232685532848
2014,Bihar,157653,,64.86265981161021,14.925287547858355,10.799817325217905,,26.113532384123044,
2015,Bihar,230346,85.39099367919239,81.6283003911116,26.376017182200606,9.327839947152953,21.535556798863837,34.53360453186927,68.98451175193786
2016,Bihar,106130,83.1511497475305,83.29618697067288,18.04829250172935,5.817635816108927,77.33541437614615,52.00038570432845,66.16150630619784
2017,Bihar,126238,88.15524939503196,95.95082723131466,,10.17412140341828,39.92336874558285,45.927905692846295,70.61316338322897
2018,Bihar,207226,96.78790487325605,87.39671989365432,33.6809871424674,11.43197429861537,,39.350400230898266,73.07282903962606
2019,Bihar,178730,93.73036124954584,64.2936275433019,33.62375734575213,,22.582129296168784,45.09128073084814,69.96952120471524
